N,Tempo(s)
10,0.000113
100,0.050517
1000,29.956715
150,0.147006
1500,95.881949
25,0.001267
250,0.582898
200,0.318865
300,0.959558
400,2.079410
500,3.873497
75,0.023238
50,0.007902
650,9.321872
800,15.600961
